customer_id,age,tenure,monthly_charges,contract_type,support_calls,satisfaction_score,payment_method,internet_service,churn
C10001,58,15,22.5,One year,3,2,Mailed check,No,1
C10002,24,70,28.69,One year,0,1,Electronic check,DSL,1
C10003,32,65,80.2,Two year,3,5,Credit card,DSL,1
C10004,46,36,100.94,Month-to-month,2,4,Bank transfer,Fiber optic,1
C10005,27,28,115.72,One year,1,1,Credit card,DSL,1
C10006,40,45,80.37,Month-to-month,7,5,Electronic check,Fiber optic,1
C10007,23,71,49.32,Two year,9,3,Mailed check,No,1
C10008,22,6,86.13,One year,1,2,Electronic check,Fiber optic,1
C10009,35,59,83.57,One year,2,3,Bank transfer,DSL,1
C10010,60,35,90.18,Two year,1,5,Mailed check,No,0
C10011,64,32,36.34,One year,4,5,Mailed check,No,1
C10012,38,8,42.9,Month-to-month,5,4,Bank transfer,DSL,1
C10013,31,41,41.26,One year,6,4,Mailed check,Fiber optic,1
C10014,26,32,94.5,Two year,4,5,Credit card,No,1
C10015,43,47,41.93,Month-to-month,8,4,Electronic check,DSL,1
C10016,73,15,35.28,Month-to-month,6,5,Electronic check,Fiber optic,1
C10017,42,60,72.91,Two year,0,1,Bank transfer,No,1
C10018,39,15,49.35,Month-to-month,7,1,Bank transfer,No,1
C10019,66,23,70.77,Month-to-month,4,5,Mailed check,DSL,1
C10020,41,21,73.94,Two year,0,5,Bank transfer,Fiber optic,0
C10021,19,15,112.91,One year,3,1,Mailed check,No,1
C10022,78,11,28.57,One year,1,5,Mailed check,DSL,0
C10023,60,61,114.68,Month-to-month,4,5,Credit card,DSL,1
C10024,77,70,95.53,Two year,3,3,Credit card,No,1
C10025,59,48,63.81,Two year,7,1,Mailed check,DSL,1
C10026,22,44,22.1,Two year,3,5,Mailed check,DSL,0
C10027,22,8,42.89,Month-to-month,5,1,Mailed check,Fiber optic,1
C10028,60,63,41.42,Month-to-month,9,5,Credit card,DSL,1
C10029,68,61,100.75,Month-to-month,1,1,Credit card,Fiber optic,1
C10030,45,53,66.7,Two year,0,1,Electronic check,Fiber optic,1
C10031,64,44,100.06,Month-to-month,3,2,Mailed check,No,1
C10032,46,18,62.19,One year,7,2,Electronic check,Fiber optic,1
C10033,69,71,29.79,Two year,8,1,Electronic check,DSL,1
C10034,28,53,68.56,Month-to-month,6,1,Mailed check,Fiber optic,1
C10035,18,50,46.52,One year,4,4,Credit card,DSL,1
C10036,30,38,41.77,Month-to-month,9,5,Electronic check,No,1
C10037,38,8,25.01,One year,8,5,Mailed check,DSL,1
C10038,79,66,28.01,Month-to-month,1,5,Electronic check,No,0
C10039,73,31,60.38,Two year,3,5,Electronic check,No,0
C10040,23,54,85.74,Two year,8,3,Bank transfer,DSL,1
C10041,60,41,43.87,One year,2,3,Credit card,Fiber optic,1
C10042,77,10,20.93,Two year,9,1,Electronic check,No,1
C10043,31,65,46.52,One year,1,2,Bank transfer,Fiber optic,1
C10044,28,57,103.37,Two year,4,5,Electronic check,No,1
C10045,70,71,49.94,Two year,1,2,Bank transfer,DSL,1
C10046,74,14,94.24,Month-to-month,4,3,Mailed check,No,1
C10047,39,27,88.75,One year,8,4,Bank transfer,DSL,1
C10048,23,55,102.93,Month-to-month,0,3,Mailed check,No,1
C10049,80,34,36.16,One year,8,4,Electronic check,DSL,1
C10050,22,20,74.56,One year,9,5,Mailed check,Fiber optic,1
C10051,26,6,50.83,Month-to-month,5,2,Mailed check,No,1
C10052,24,46,98.01,One year,9,2,Mailed check,DSL,1
C10053,80,23,108.14,Month-to-month,2,3,Credit card,No,1
C10054,73,32,46.68,Two year,1,4,Electronic check,Fiber optic,0
C10055,32,26,101.66,One year,5,3,Mailed check,DSL,1
C10056,19,25,59.85,One year,1,3,Bank transfer,No,1
C10057,50,52,87.95,Two year,5,1,Electronic check,Fiber optic,1
C10058,29,34,23.83,Two year,6,3,Bank transfer,Fiber optic,1
C10059,56,66,31.56,Two year,3,3,Electronic check,No,1
C10060,45,1,71.99,Two year,3,3,Credit card,DSL,1
C10061,78,43,82.32,Two year,1,3,Bank transfer,No,1
C10062,44,42,60.24,One year,8,2,Mailed check,Fiber optic,1
C10063,60,49,87.73,Month-to-month,9,5,Bank transfer,Fiber optic,1
C10064,53,1,50.39,Month-to-month,6,5,Bank transfer,Fiber optic,1
C10065,46,57,87.56,Two year,7,2,Electronic check,Fiber optic,1
C10066,50,43,29.34,Month-to-month,4,2,Mailed check,DSL,1
C10067,19,6,44.48,One year,9,1,Credit card,Fiber optic,1
C10068,74,25,91.83,One year,7,4,Mailed check,DSL,1
C10069,59,1,109.27,Month-to-month,6,2,Mailed check,No,1
C10070,51,60,25.02,Month-to-month,1,4,Mailed check,Fiber optic,1
C10071,60,68,118.79,Two year,5,4,Credit card,No,1
C10072,46,21,94.37,One year,7,3,Mailed check,No,1
C10073,35,67,68.46,Month-to-month,4,4,Electronic check,No,1
C10074,36,31,47.17,One year,8,1,Mailed check,DSL,1
C10075,32,50,89.39,Two year,3,1,Credit card,Fiber optic,1
C10076,39,70,66.59,Month-to-month,3,4,Credit card,No,1
C10077,78,3,105.67,Two year,6,4,Electronic check,Fiber optic,1
C10078,37,50,105.34,One year,8,5,Mailed check,Fiber optic,1
C10079,32,35,63.58,Month-to-month,6,3,Credit card,No,1
C10080,28,60,111.95,Two year,8,1,Credit card,No,1
C10081,54,4,28.39,One year,2,4,Mailed check,DSL,1
C10082,34,49,52.74,One year,5,3,Credit card,Fiber optic,1
C10083,66,54,45.23,Month-to-month,7,1,Electronic check,Fiber optic,1
C10084,32,9,98.12,Two year,0,1,Mailed check,DSL,1
C10085,71,3,82.13,Month-to-month,2,4,Electronic check,No,1
C10086,78,28,66.5,One year,5,2,Electronic check,DSL,1
C10087,79,40,30.81,Month-to-month,4,5,Credit card,Fiber optic,1
C10088,78,26,27.6,Two year,3,1,Bank transfer,No,1
C10089,56,16,99.62,Two year,0,3,Credit card,No,0
C10090,41,9,70.6,One year,0,4,Credit card,DSL,0
C10091,45,47,83.56,One year,2,4,Mailed check,No,1
C10092,51,35,81.59,Two year,7,4,Credit card,No,1
C10093,55,35,52.23,Month-to-month,1,3,Credit card,DSL,1
C10094,66,60,76.98,Two year,6,3,Electronic check,Fiber optic,1
C10095,72,42,38.18,Month-to-month,5,3,Bank transfer,Fiber optic,1
C10096,74,36,75.58,Two year,3,1,Mailed check,No,1
C10097,44,63,75.52,Month-to-month,7,4,Credit card,DSL,1
C10098,23,38,42.16,Two year,3,3,Bank transfer,Fiber optic,1
C10099,53,68,54.38,Two year,8,3,Bank transfer,No,1
C10100,47,35,50.66,Month-to-month,1,2,Bank transfer,DSL,1
C10101,65,69,115.09,Two year,2,2,Mailed check,No,1
C10102,48,36,92.46,Two year,9,3,Electronic check,DSL,1
C10103,36,30,56.09,One year,0,5,Mailed check,Fiber optic,0
C10104,20,7,75.34,Two year,2,4,Electronic check,DSL,1
C10105,54,37,66.94,One year,5,2,Electronic check,Fiber optic,1
C10106,78,62,31.41,Month-to-month,6,4,Electronic check,No,1
C10107,58,7,35.17,Two year,4,1,Mailed check,DSL,1
C10108,53,54,80.63,Two year,3,5,Credit card,Fiber optic,1
C10109,76,57,49.74,Two year,6,3,Electronic check,No,1
C10110,79,13,114.76,Month-to-month,3,3,Electronic check,DSL,1
C10111,33,23,75.2,Month-to-month,0,4,Credit card,No,1
