employee_id,department,salary,years_at_company,overtime,job_satisfaction,work_life_balance,training_hours,attrition
E20001,Engineering,11612,7,No,5,1,26,1
E20002,HR,13524,2,No,4,3,26,0
E20003,R&D,5114,7,Yes,1,2,48,1
E20004,R&D,5653,6,Yes,3,3,20,1
E20005,HR,6216,11,No,2,3,78,1
E20006,Sales,11234,11,Yes,5,2,31,1
E20007,HR,12234,1,Yes,1,1,43,1
E20008,R&D,12373,7,Yes,4,3,48,1
E20009,Engineering,7012,13,No,3,4,19,1
E20010,Sales,5589,8,No,4,4,36,1
E20011,HR,12939,3,No,3,3,61,1
E20012,R&D,9070,9,Yes,3,2,69,1
E20013,Sales,7382,8,Yes,2,1,16,1
E20014,HR,9293,14,No,2,2,51,1
E20015,HR,6110,13,Yes,4,4,73,1
E20016,HR,11148,1,Yes,4,4,40,1
E20017,R&D,12557,6,Yes,1,3,73,1
E20018,Engineering,7681,9,Yes,1,4,27,1
E20019,HR,14919,6,No,3,1,61,1
E20020,Sales,12343,9,Yes,3,3,19,1
E20021,Engineering,11261,8,No,5,1,26,1
E20022,Sales,9453,6,No,5,3,28,0
E20023,R&D,12870,9,No,5,1,15,1
E20024,Sales,5245,12,No,4,4,29,1
E20025,R&D,8373,15,No,2,4,48,1
E20026,HR,11311,14,No,5,3,70,0
E20027,Sales,9035,6,Yes,4,3,13,1
E20028,Engineering,7350,11,Yes,1,4,31,1
E20029,Engineering,5421,14,Yes,1,1,34,1
E20030,Sales,10225,6,No,2,4,36,1
E20031,Engineering,11221,13,No,1,2,76,1
E20032,R&D,12189,6,No,5,4,50,0
E20033,R&D,10531,15,No,5,3,43,0
E20034,Engineering,6150,4,No,5,3,38,0
E20035,HR,7735,12,Yes,4,3,71,1
E20036,HR,12183,15,No,3,1,79,1
E20037,Engineering,9464,14,No,2,3,15,1
E20038,HR,14700,2,No,4,3,71,0
E20039,R&D,6310,14,No,5,3,27,0
E20040,Sales,13087,12,Yes,2,1,77,1
E20041,R&D,13452,4,Yes,1,4,52,1
E20042,Engineering,4647,11,Yes,1,2,62,1
E20043,Engineering,10822,11,Yes,3,3,46,1
E20044,Sales,4465,11,Yes,5,1,32,1
E20045,Engineering,5880,15,Yes,4,4,33,1
E20046,HR,3613,1,No,5,1,52,1
E20047,HR,10444,11,No,2,4,44,1
E20048,R&D,4845,6,Yes,4,3,33,1
E20049,Sales,8523,13,No,5,2,32,1
E20050,Engineering,10007,9,No,1,4,22,1
E20051,R&D,5303,8,No,2,1,43,1
E20052,Engineering,6858,8,No,3,3,11,1
E20053,HR,13709,6,Yes,1,1,69,1
E20054,HR,5616,7,No,1,3,57,1
E20055,R&D,6590,3,No,2,4,57,1
E20056,Engineering,14500,9,No,5,2,41,0
E20057,Sales,11609,8,No,1,1,17,1
E20058,R&D,12383,9,Yes,2,3,76,1
E20059,Engineering,4904,11,Yes,5,4,21,1
E20060,Engineering,3911,8,Yes,5,4,68,1
E20061,Sales,12155,8,No,1,4,42,1
E20062,Sales,6570,10,Yes,1,4,54,1
E20063,Sales,11866,1,Yes,4,1,46,1
E20064,Engineering,5948,13,Yes,4,3,58,1
E20065,Engineering,9184,7,Yes,5,2,54,1
E20066,Sales,5924,9,No,5,2,38,1
E20067,Sales,3372,5,No,5,4,78,0
