store_id,date,promotion,footfall,inventory,marketing_spend,sales
5,2026-01-02,0,635,4691,380.03,6322.26
1,2026-01-03,0,338,4464,1144.68,5909.92
5,2026-01-04,1,1055,1657,1297.19,13567.37
5,2026-01-05,0,624,3335,195.67,5760.55
1,2026-01-06,0,344,4949,494.6,4326.18
5,2026-01-07,0,572,4785,399.62,5810.59
4,2026-01-08,1,1025,1758,715.53,11745.81
2,2026-01-09,1,878,2737,399.98,9437.81
1,2026-01-10,1,785,2908,254.44,8240.21
3,2026-01-11,1,961,3957,156.85,9467.81
1,2026-01-12,1,806,2871,940.55,10386.34
4,2026-01-13,0,570,2668,506.83,6199.73
2,2026-01-14,0,440,4846,1050.78,6453.97
4,2026-01-15,0,550,2794,831.73,6891.8
1,2026-01-16,0,370,2640,1073.05,6181.81
2,2026-01-17,0,426,4994,378.72,4463.7
4,2026-01-18,0,529,4432,694.59,6282.39
5,2026-01-19,1,1061,2458,766.16,12076.4
4,2026-01-20,1,1015,2142,306.32,10367.09
1,2026-01-21,1,832,3036,423.15,9339.94
1,2026-01-22,0,326,4400,195.52,3274.09
2,2026-01-23,1,907,3782,557.74,10139.9
5,2026-01-24,0,569,3707,1152.25,7972.37
4,2026-01-25,0,537,3711,797.06,6636.61
5,2026-01-26,1,1079,3238,124.74,10476.26
4,2026-01-27,0,549,2843,540.38,5977.76
4,2026-01-28,0,504,1724,879.33,6703.03
3,2026-01-29,0,502,2764,288.28,4988.3
4,2026-01-30,0,572,3764,786.78,6909.52
5,2026-01-31,1,1070,3302,1296.09,13605.06
4,2026-02-01,1,1013,3420,1459.22,13627.5
3,2026-02-02,1,931,1251,139.41,9088.08
3,2026-02-03,1,964,1110,1171.27,12421.9
4,2026-02-04,0,554,2413,1488.72,8684.79
1,2026-02-05,0,351,1961,1007.32,5726.46
1,2026-02-06,1,784,2382,337.69,8585.86
1,2026-02-07,1,824,3326,820.66,10231.0
1,2026-02-08,1,845,1091,1480.07,12236.52
4,2026-02-09,1,1023,1400,1231.66,12917.27
2,2026-02-10,1,893,3059,1236.04,12033.73
2,2026-02-11,1,876,4970,710.39,10371.38
1,2026-02-12,0,356,2086,166.54,3534.38
4,2026-02-13,0,579,4042,1441.12,8848.25
5,2026-02-14,0,635,2379,482.71,6578.52
5,2026-02-15,1,1064,1859,586.24,11439.27
3,2026-02-16,1,945,3717,855.93,11255.63
4,2026-02-17,1,1029,3110,734.52,11773.49
2,2026-02-18,0,460,3880,822.71,5981.55
4,2026-02-19,0,559,2097,1412.03,8547.3
5,2026-02-20,1,1082,3976,977.46,12815.97
3,2026-02-21,1,908,1984,310.66,9571.04
3,2026-02-22,1,942,2305,1304.26,12699.67
2,2026-02-23,1,864,4373,501.86,9588.18
5,2026-02-24,0,611,1976,258.98,5642.92
2,2026-02-25,1,889,2988,883.76,10945.17
1,2026-02-26,0,340,2117,291.0,3530.32
3,2026-02-27,0,445,4947,1111.46,6845.76
1,2026-02-28,0,360,3464,517.17,4269.15
4,2026-03-01,1,961,2625,1420.43,13124.67
2,2026-03-02,0,394,3338,1128.27,6519.84
5,2026-03-03,1,1073,4623,226.35,10662.33
3,2026-03-04,1,964,4019,645.93,10987.92
2,2026-03-05,1,857,1590,249.54,8840.34
3,2026-03-06,1,942,2041,1308.06,12453.75
5,2026-03-07,1,1024,2296,864.04,12008.57
2,2026-03-08,1,848,2486,765.31,10256.79
3,2026-03-09,0,517,1142,1278.06,7866.64
1,2026-03-10,0,352,3263,638.57,4716.08
3,2026-03-11,0,508,4551,430.93,5354.92
1,2026-03-12,1,802,2232,226.35,8506.99
2,2026-03-13,1,856,4520,1346.35,12113.75
3,2026-03-14,1,894,2122,1313.02,12304.22
4,2026-03-15,1,1002,4794,1277.63,13058.98
1,2026-03-16,0,353,3073,192.91,3411.01
5,2026-03-17,1,1068,3847,138.29,10210.44
2,2026-03-18,1,847,1012,660.93,10034.49
3,2026-03-19,0,454,1646,449.44,5045.3
2,2026-03-20,1,870,2849,769.71,10559.74
3,2026-03-21,0,515,4386,558.61,5721.65
1,2026-03-22,1,817,1745,650.89,9685.09
5,2026-03-23,0,562,4883,132.16,4996.01
5,2026-03-24,0,571,4990,747.39,6703.43
2,2026-03-25,0,431,3531,700.46,5423.54
1,2026-03-26,1,791,4879,894.14,10044.03
5,2026-03-27,1,1068,4388,1043.05,12763.69
2,2026-03-28,0,414,2179,1145.02,6565.48
4,2026-03-29,0,576,1882,1493.29,8839.3
2,2026-03-30,1,853,2673,1209.45,11439.69
3,2026-03-31,0,519,2847,1370.26,8053.42
4,2026-04-01,0,501,2920,286.49,4857.35
4,2026-04-02,0,549,3901,692.61,6470.27
1,2026-04-03,0,391,1240,172.96,3819.81
4,2026-04-04,1,1027,4847,1039.11,12621.58
1,2026-04-05,0,352,3066,967.52,5536.21
4,2026-04-06,1,966,4965,1349.12,12761.07
2,2026-04-07,1,851,3063,789.98,10341.9
4,2026-04-08,0,511,2299,1094.36,7234.29
3,2026-04-09,0,480,1180,1469.92,8051.54
3,2026-04-10,1,945,2158,1363.91,12696.91
3,2026-04-11,1,945,4656,330.98,9946.8
4,2026-04-12,0,571,4494,1391.99,8620.77
4,2026-04-13,0,524,1608,176.39,4695.63
4,2026-04-14,1,970,3891,753.99,11149.98
4,2026-04-15,0,556,2460,1484.35,8733.64
4,2026-04-16,1,964,4464,1107.67,12100.69
3,2026-04-17,0,466,4556,497.76,5315.41
5,2026-04-18,1,1082,4649,1028.39,12865.61
1,2026-04-19,0,373,4770,207.57,3720.27
1,2026-04-20,1,773,2164,1053.84,10543.54
4,2026-04-21,1,1025,4805,1431.71,13714.88
2,2026-04-22,0,390,2885,1262.98,6782.21
4,2026-04-23,1,1026,3695,108.13,10056.9
5,2026-04-24,1,1051,4880,1124.16,13036.14
5,2026-04-25,0,587,4535,168.16,5327.34
3,2026-04-26,0,449,3241,1432.66,7657.67
4,2026-04-27,1,972,1983,1451.07,13343.05
1,2026-04-28,0,346,1667,643.9,4610.84
2,2026-04-29,0,418,3010,1221.54,6918.68
3,2026-04-30,0,485,3725,234.56,4594.01
2,2026-05-01,1,887,4626,643.33,10205.27
5,2026-05-02,1,1021,4098,691.55,11469.01
2,2026-05-03,1,910,2744,230.13,9310.37
4,2026-05-04,0,519,4812,793.45,6516.33
5,2026-05-05,0,597,2917,712.3,7012.0
4,2026-05-06,1,969,1523,1058.04,12048.43
2,2026-05-07,1,867,3328,166.82,8649.46
1,2026-05-08,0,385,2740,678.23,5045.44
5,2026-05-09,1,1055,2043,919.8,12507.03
1,2026-05-10,0,379,1735,1200.65,6572.49
1,2026-05-11,0,373,4591,1086.13,6043.95
4,2026-05-12,1,1029,4308,471.1,11096.9
2,2026-05-13,0,403,1320,1145.84,6544.17
1,2026-05-14,1,838,1073,108.19,8259.54
2,2026-05-15,1,888,3833,667.13,10396.88
5,2026-05-16,1,1048,3533,1238.39,13296.12
4,2026-05-17,1,961,1512,289.16,9797.09
1,2026-05-18,0,323,1857,773.56,4708.11
2,2026-05-19,1,910,4515,1206.02,11946.13
3,2026-05-20,1,908,2941,690.63,10464.3
2,2026-05-21,1,892,2931,127.48,8856.2
2,2026-05-22,0,417,3332,1261.23,6918.36
3,2026-05-23,0,453,3582,1286.68,7296.84
4,2026-05-24,1,1024,3440,1123.51,12892.34
1,2026-05-25,1,821,2991,818.7,10291.94
4,2026-05-26,0,507,3163,126.63,4534.89
5,2026-05-27,0,594,4657,1007.62,7808.88
1,2026-05-28,1,849,4845,1004.65,10959.32
4,2026-05-29,0,520,2179,1116.69,7381.5
4,2026-05-30,0,564,1899,922.72,7263.91
5,2026-05-31,1,1026,4617,510.75,11106.72
4,2026-06-01,1,1010,4275,1459.32,13466.7
2,2026-06-02,1,841,3732,776.05,10171.13
2,2026-06-03,1,842,4250,682.38,10163.19
3,2026-06-04,0,466,3280,165.87,4141.08
3,2026-06-05,1,910,1715,1259.13,12305.9
1,2026-06-06,0,363,2763,259.56,3621.38
5,2026-06-07,0,622,2056,1491.13,9361.03
1,2026-06-08,1,789,4495,1066.19,10659.75
1,2026-06-09,0,376,4272,739.99,5257.65
1,2026-06-10,0,398,3497,1195.02,6743.87
5,2026-06-11,0,624,1431,333.86,5937.03
2,2026-06-12,1,850,3983,508.97,9577.57
5,2026-06-13,1,1022,1631,1005.93,12347.39
2,2026-06-14,0,405,2798,1457.49,7482.74
1,2026-06-15,0,380,2398,501.46,4421.47
3,2026-06-16,1,943,2477,981.22,11603.65
5,2026-06-17,1,1039,1565,1222.48,13116.77
4,2026-06-18,1,1016,4254,1055.08,12618.55
4,2026-06-19,0,501,3939,1228.75,7681.79
1,2026-06-20,1,810,2645,1474.72,11870.51
1,2026-06-21,1,774,3704,1391.53,11338.37
5,2026-06-22,0,640,3921,1218.7,8773.1
3,2026-06-23,1,941,4628,1053.22,11881.3
3,2026-06-24,1,934,1032,1257.8,12500.7
5,2026-06-25,0,611,2827,1001.43,7930.48
5,2026-06-26,1,1054,4635,1236.56,13349.8
2,2026-06-27,1,840,1151,852.41,10441.75
2,2026-06-28,1,857,1380,816.34,10456.83
3,2026-06-29,0,442,1114,1346.45,7406.44
3,2026-06-30,0,478,3975,691.84,5858.33
1,2026-07-01,1,803,3568,810.5,9941.14
1,2026-07-02,1,808,3344,1131.6,10980.02
2,2026-07-03,0,424,2225,498.35,4957.62
5,2026-07-04,0,608,3128,1132.52,8038.22
5,2026-07-05,0,606,2860,237.18,5696.8
4,2026-07-06,0,511,1254,694.84,6024.77
2,2026-07-07,1,839,2512,1047.55,10983.77
5,2026-07-08,1,1043,3393,798.36,11965.03
4,2026-07-09,1,1003,4374,327.98,10344.68
4,2026-07-10,1,966,4965,1086.33,12271.91
1,2026-07-11,0,378,2938,145.65,3404.47
5,2026-07-12,1,1025,3464,1293.24,13109.17
3,2026-07-13,1,895,3141,314.63,9381.4
3,2026-07-14,1,927,2990,139.17,9083.94
5,2026-07-15,1,1016,4837,1351.95,13433.38
2,2026-07-16,0,442,1008,271.26,4338.52
1,2026-07-17,1,831,3347,533.58,9493.94
3,2026-07-18,1,950,4417,1108.05,12124.25
2,2026-07-19,1,887,3732,728.7,10623.66
3,2026-07-20,0,519,3721,973.03,6946.45
4,2026-07-21,1,1019,1187,1441.31,13708.48
3,2026-07-22,0,461,3896,134.73,4196.48
3,2026-07-23,0,511,1348,369.4,5260.13
5,2026-07-24,0,632,3137,365.15,6197.57
1,2026-07-25,0,388,1736,1447.33,7166.61
2,2026-07-26,0,454,2819,218.51,4344.69
3,2026-07-27,1,965,1184,788.06,11449.72
3,2026-07-28,1,913,2699,133.68,9069.27
4,2026-07-29,1,961,1469,1471.7,13213.49
3,2026-07-30,0,463,2046,1175.63,6984.63
4,2026-07-31,0,507,3516,1445.57,8109.43
1,2026-08-01,1,819,1404,548.06,9424.21
3,2026-08-02,1,938,4856,1258.84,12302.64
2,2026-08-03,0,456,3400,431.09,4948.84
5,2026-08-04,1,1024,2103,184.88,10103.91
4,2026-08-05,0,561,1118,670.49,6397.69
1,2026-08-06,1,840,4946,920.64,10546.24
5,2026-08-07,0,598,3327,669.44,6653.2
5,2026-08-08,0,578,2529,856.62,7038.59
2,2026-08-09,1,901,2850,158.51,9125.82
5,2026-08-10,1,1031,1002,184.25,10296.64
3,2026-08-11,1,938,2439,1279.41,12387.77
5,2026-08-12,1,1015,1661,1134.86,12719.53
3,2026-08-13,0,490,3860,272.17,4671.97
5,2026-08-14,1,1065,1863,954.62,12743.16
3,2026-08-15,1,923,4083,1090.86,11754.91
3,2026-08-16,1,916,2883,1442.59,12698.99
2,2026-08-17,0,457,2951,105.99,3897.05
2,2026-08-18,1,901,4667,1075.09,11595.15
4,2026-08-19,0,509,3206,143.33,4674.75
4,2026-08-20,0,545,4981,1237.89,8033.33
3,2026-08-21,1,912,4437,1175.15,12027.93
1,2026-08-22,0,379,2517,1410.75,7041.27
2,2026-08-23,0,415,3787,1389.96,7252.23
1,2026-08-24,1,798,1959,1472.17,12005.86
1,2026-08-25,1,833,4704,1085.67,11102.28
1,2026-08-26,0,370,1454,1317.88,6744.79
4,2026-08-27,0,570,1793,1023.77,7560.27
5,2026-08-28,0,568,3409,279.54,5309.83
3,2026-08-29,0,506,3985,1195.15,7403.18
1,2026-08-30,1,841,4617,735.5,10286.97
1,2026-08-31,1,825,4458,1493.15,12078.03
5,2026-09-01,1,1073,2480,824.16,12169.29
2,2026-09-02,0,415,4761,688.09,5314.31
1,2026-09-03,1,794,2370,214.53,8333.03
1,2026-09-04,0,374,4923,204.22,3563.61
2,2026-09-05,1,869,1257,976.39,10938.71
4,2026-09-06,1,953,3427,1216.11,12550.23
3,2026-09-07,0,453,2939,433.7,4881.2
1,2026-09-08,1,836,4252,431.44,9135.11
