player_id,training_hours,heart_rate_max,sleep_quality,fatigue_score,vo2_max,injury_risk
P30001,20.0,178,2,8,58.2,1
P30002,7.1,153,1,7,47.5,1
P30003,26.2,154,3,1,71.8,1
P30004,16.0,169,10,7,37.6,1
P30005,21.9,185,1,5,69.0,1
P30006,15.0,189,7,4,69.6,1
P30007,24.7,189,1,8,50.4,1
P30008,24.9,206,10,10,39.1,1
P30009,21.3,193,1,8,55.7,1
P30010,19.7,156,2,1,58.8,1
P30011,6.7,200,4,10,40.0,1
P30012,17.7,172,7,8,64.0,1
P30013,16.1,165,3,1,37.4,1
P30014,12.8,177,9,6,47.4,1
P30015,27.1,199,3,3,53.8,1
P30016,20.1,168,6,1,55.7,1
P30017,21.4,159,1,4,55.3,1
P30018,25.9,204,1,7,48.8,1
P30019,29.4,190,4,2,48.7,1
P30020,21.7,194,8,10,62.7,1
P30021,26.3,186,6,10,47.0,1
P30022,13.2,156,8,1,54.8,0
P30023,28.0,190,4,4,53.7,1
P30024,10.3,180,6,7,43.2,1
P30025,9.6,150,6,1,37.9,1
P30026,5.8,157,3,5,52.6,1
P30027,20.8,208,6,1,74.0,1
P30028,10.0,168,3,4,70.4,1
P30029,23.0,171,9,4,42.1,1
P30030,5.5,203,5,2,35.8,1
P30031,21.9,174,2,6,72.4,1
P30032,12.6,165,6,6,61.4,1
P30033,28.5,201,10,7,70.1,1
P30034,6.6,159,3,4,42.7,1
P30035,14.5,173,6,10,52.2,1
P30036,20.9,208,1,10,58.5,1
P30037,26.4,168,3,6,44.9,1
P30038,20.7,167,3,9,73.7,1
P30039,27.1,163,2,8,66.6,1
P30040,20.4,160,9,7,65.1,1
P30041,21.1,182,6,8,55.8,1
P30042,9.5,195,6,9,62.8,1
P30043,22.9,181,8,5,58.2,1
P30044,21.0,200,10,1,43.3,0
P30045,27.4,178,4,7,43.7,1
P30046,15.6,174,10,3,72.4,0
P30047,14.4,185,2,3,65.1,1
P30048,12.4,183,6,4,58.4,1
P30049,16.6,189,6,7,53.0,1
P30050,15.8,173,8,6,45.9,1
P30051,5.6,178,4,5,60.8,1
P30052,14.0,155,5,9,55.5,1
P30053,21.1,200,5,4,38.9,1
P30054,6.8,152,9,4,48.4,0
P30055,21.9,166,5,5,42.6,1
P30056,20.1,158,9,5,35.3,1
P30057,12.5,202,6,7,72.8,1
P30058,25.5,198,1,8,61.2,1
P30059,29.7,210,3,7,44.1,1
P30060,23.1,163,8,4,55.6,1
P30061,24.6,198,8,8,48.6,1
P30062,7.1,204,4,7,65.8,1
P30063,22.4,163,8,8,69.1,1
P30064,5.8,158,10,3,47.2,0
P30065,23.4,181,6,6,44.0,1
P30066,15.6,198,7,9,47.0,1
P30067,19.7,186,1,3,41.1,1
P30068,28.8,171,10,10,71.6,1
P30069,19.3,175,7,4,72.9,1
P30070,6.6,174,4,8,39.3,1
P30071,19.2,178,5,2,41.9,1
P30072,21.9,161,1,10,54.5,1
P30073,9.7,154,7,5,43.2,1
P30074,12.3,183,2,8,37.3,1
P30075,18.0,160,6,7,50.6,1
P30076,29.7,158,9,7,54.1,1
P30077,6.7,207,4,3,69.8,1
P30078,12.7,202,8,3,59.1,1
P30079,28.5,187,4,9,63.7,1
P30080,16.5,162,1,3,52.8,1
P30081,25.6,188,4,9,48.2,1
P30082,19.2,181,8,8,58.0,1
P30083,23.4,168,8,6,63.0,1
P30084,22.8,169,7,10,67.9,1
P30085,26.2,176,4,3,71.0,1
P30086,23.3,179,7,3,62.9,1
P30087,7.4,194,1,4,70.4,1
P30088,8.9,206,9,5,61.7,0
P30089,6.7,196,4,8,51.5,1
P30090,24.0,157,6,2,65.2,1
P30091,17.6,199,6,7,53.0,1
P30092,11.3,182,1,8,36.1,1
P30093,21.0,193,8,7,48.7,1
P30094,15.0,162,7,1,35.4,1
P30095,7.9,208,3,6,61.8,1
P30096,16.6,179,2,2,56.9,1
P30097,11.1,210,8,3,53.8,1
P30098,12.0,160,3,1,59.3,1
P30099,9.4,157,9,7,41.7,1
P30100,21.8,150,5,3,52.6,1
P30101,9.4,195,1,9,43.6,1
P30102,22.4,203,9,2,50.6,1
P30103,12.7,153,10,1,36.9,0
P30104,14.4,162,4,6,71.4,1
P30105,10.0,151,7,1,74.6,0
P30106,13.4,162,2,4,73.3,1
P30107,7.4,203,3,3,36.8,1
P30108,17.8,202,6,6,57.5,1
P30109,9.7,163,9,7,72.6,1
P30110,8.0,163,2,6,47.9,1
P30111,5.4,191,6,1,50.6,1
P30112,16.5,154,5,10,49.8,1
P30113,6.7,163,7,5,65.7,1
P30114,17.5,156,9,10,41.9,1
P30115,29.0,188,6,7,62.1,1
P30116,29.3,194,3,6,42.0,1
P30117,24.0,194,6,8,37.7,1
P30118,5.4,208,10,8,50.3,1
P30119,21.0,164,9,10,63.2,1
P30120,5.3,151,10,2,47.4,0
P30121,23.4,198,4,10,38.2,1
P30122,8.4,181,5,4,41.1,1
P30123,10.1,152,4,10,74.5,1
P30124,16.1,206,6,3,46.1,1
P30125,21.1,198,1,9,66.7,1
P30126,15.4,202,5,1,44.2,1
P30127,23.3,171,4,4,56.6,1
P30128,27.7,192,4,4,59.3,1
P30129,14.5,170,3,8,60.2,1
P30130,6.6,181,2,4,37.1,1
P30131,29.8,210,4,3,38.7,1
P30132,19.8,203,4,4,55.3,1
P30133,15.7,179,5,3,63.9,1
P30134,11.1,161,10,4,47.1,0
P30135,19.4,190,4,5,69.5,1
P30136,17.0,210,6,7,50.1,1
P30137,16.8,177,9,10,64.4,1
P30138,24.0,202,8,1,65.5,1
P30139,15.7,155,5,10,56.5,1
P30140,18.8,161,5,7,53.5,1
P30141,16.3,174,9,10,54.2,1
P30142,13.3,195,8,4,41.2,1
P30143,9.7,150,9,6,54.7,1
P30144,28.1,210,7,6,50.4,1
P30145,12.7,187,2,7,70.4,1
P30146,29.8,157,7,10,41.5,1
P30147,24.1,166,6,9,63.4,1
P30148,20.9,173,1,7,72.1,1
P30149,23.4,165,8,1,71.9,1
P30150,14.0,195,1,3,45.5,1
P30151,16.4,193,3,5,44.9,1
P30152,19.5,192,3,1,39.7,1
P30153,7.3,195,7,7,63.2,1
P30154,29.4,155,9,4,70.0,1
P30155,9.1,177,5,5,55.0,1
P30156,18.3,206,7,10,47.3,1
P30157,15.3,206,2,2,60.4,1
P30158,24.4,172,3,5,64.9,1
P30159,28.3,175,5,1,74.5,1
P30160,25.4,150,2,2,65.9,1
P30161,15.4,176,5,7,41.8,1
P30162,14.4,195,3,4,54.5,1
P30163,17.6,157,8,10,67.6,1
P30164,9.6,153,3,4,45.4,1
P30165,27.6,176,8,10,39.4,1
P30166,20.9,155,5,2,50.1,1
P30167,11.9,171,1,10,44.4,1
P30168,17.1,198,2,1,37.4,1
P30169,23.8,150,10,1,38.9,0
P30170,18.1,150,7,10,55.8,1
P30171,29.1,167,8,8,65.3,1
P30172,20.1,171,6,6,75.0,1
P30173,25.4,210,6,7,50.1,1
P30174,6.4,172,6,2,35.1,1
P30175,26.8,175,3,1,59.1,1
P30176,26.7,167,4,6,53.1,1
P30177,22.2,205,8,9,51.5,1
P30178,9.7,190,6,1,60.4,1
P30179,26.8,201,6,8,44.3,1
P30180,17.1,197,10,2,48.9,0
P30181,28.5,210,8,2,64.4,1
P30182,12.3,162,3,9,70.0,1
P30183,24.6,195,9,1,40.1,1
P30184,24.9,169,9,8,41.7,1
P30185,16.2,157,8,9,44.6,1
P30186,10.3,198,2,2,52.4,1
P30187,22.9,160,6,7,65.7,1
P30188,10.5,166,8,2,61.6,0
P30189,28.1,190,8,2,66.8,1
P30190,13.3,164,10,10,37.6,1
P30191,13.6,208,7,9,73.6,1
P30192,15.9,164,4,5,39.6,1
P30193,7.2,155,6,10,72.5,1
P30194,23.6,157,10,6,40.1,1
P30195,12.8,174,10,1,47.4,0
P30196,19.8,162,7,7,47.8,1
P30197,14.1,193,3,9,61.5,1
P30198,19.8,156,7,1,56.5,1
P30199,16.5,159,5,4,55.0,1
P30200,16.4,188,5,3,64.9,1
P30201,26.2,202,1,10,47.8,1
P30202,17.6,194,2,5,74.9,1
P30203,22.7,180,4,8,46.7,1
P30204,29.2,153,6,3,68.1,1
P30205,10.3,196,4,1,71.9,1
P30206,24.4,204,8,7,47.0,1
P30207,25.4,208,3,1,56.9,1
P30208,13.4,193,8,6,65.3,1
P30209,14.8,183,5,5,62.9,1
P30210,9.9,204,9,7,38.9,1
P30211,13.1,200,10,1,69.0,0
P30212,22.7,179,3,10,40.5,1
P30213,22.4,168,3,4,43.7,1
P30214,23.7,197,1,6,64.0,1
P30215,19.4,193,3,7,73.0,1
P30216,15.7,203,3,1,38.8,1
P30217,29.4,161,1,2,74.2,1
P30218,21.3,187,7,3,60.1,1
P30219,15.1,152,2,4,50.9,1
P30220,12.6,188,3,7,66.0,1
P30221,29.8,192,2,8,69.6,1
P30222,21.3,167,8,6,35.5,1
P30223,7.9,157,8,9,44.0,1
P30224,19.7,186,8,5,62.7,1
P30225,7.4,187,3,7,54.4,1
P30226,21.1,177,5,10,40.0,1
P30227,13.1,195,9,3,51.2,0
P30228,22.5,175,9,9,66.3,1
P30229,18.3,154,9,10,56.6,1
P30230,25.5,191,2,4,73.6,1
P30231,27.4,161,10,3,35.2,1
P30232,16.2,170,2,1,40.2,1
P30233,10.2,160,2,9,45.3,1
P30234,23.8,155,2,9,46.9,1
P30235,29.2,160,7,1,44.9,1
P30236,6.2,210,9,5,61.4,0
P30237,16.1,186,8,6,55.9,1
P30238,29.7,172,10,9,55.4,1
P30239,22.2,192,1,4,36.5,1
P30240,8.5,204,4,3,59.1,1
P30241,10.4,172,5,3,64.2,1
P30242,15.6,185,5,5,50.3,1
P30243,27.6,175,8,2,72.8,1
P30244,21.9,210,3,9,43.2,1
P30245,20.7,167,4,6,57.5,1
P30246,21.2,182,10,3,51.8,0
P30247,8.8,200,7,7,36.0,1
P30248,20.1,154,5,2,56.3,1
P30249,22.1,176,2,6,60.6,1
P30250,14.1,171,5,3,69.8,1
