attendance,study_hours,assignments_completed,midterm_score,project_score,final_score,pass_fail
75.1,8.2,0,77.2,99.8,64.5,1
87.6,18.1,1,45.5,57.4,58.1,1
56.6,4.3,9,82.2,72.9,64.7,1
69.9,14.2,2,83.3,68.9,60.9,1
69.8,18.0,8,73.1,84.1,77.3,1
53.6,23.7,5,77.9,74.6,69.8,1
70.7,12.2,3,52.5,75.6,55.2,1
65.2,29.7,9,87.5,88.2,94.2,1
72.0,27.9,3,44.0,62.4,69.7,1
92.6,5.1,0,47.0,77.3,49.3,0
91.6,10.1,5,78.6,46.7,65.6,1
51.1,7.9,8,44.8,72.8,60.6,1
77.4,19.4,2,78.7,80.1,69.6,1
95.3,16.8,4,41.9,57.0,67.4,1
80.9,3.5,10,96.2,44.0,72.3,1
83.1,27.6,5,90.5,41.1,82.1,1
82.5,8.5,6,65.6,82.6,72.3,1
74.2,18.7,1,43.0,70.0,57.8,1
96.3,2.6,3,94.6,58.3,62.7,1
87.2,2.5,10,54.6,77.5,68.1,1
98.9,16.0,0,73.8,92.7,73.9,1
90.7,2.8,8,96.4,53.5,69.6,1
69.6,5.8,6,66.5,80.7,66.5,1
84.3,13.7,9,40.7,98.2,81.1,1
66.5,17.2,3,75.7,74.9,68.0,1
60.1,5.9,8,93.7,65.8,70.9,1
88.5,20.4,9,94.2,59.0,87.5,1
97.4,5.3,5,88.8,48.7,62.3,1
65.9,29.2,6,51.2,84.7,81.6,1
81.8,22.7,2,84.5,46.4,66.3,1
88.1,19.1,4,72.4,76.7,75.9,1
61.5,2.7,1,78.2,68.6,48.9,0
80.2,21.9,5,42.9,63.2,68.6,1
58.2,8.3,6,83.5,40.9,56.2,1
70.7,22.8,3,83.0,44.0,70.7,1
99.3,26.3,7,78.2,92.0,97.0,1
71.4,23.7,9,81.5,62.8,82.2,1
80.6,22.8,9,67.5,78.5,87.2,1
51.9,5.1,7,87.9,42.5,61.1,1
75.9,13.1,0,69.0,71.0,58.5,1
52.5,10.2,6,91.9,86.4,67.2,1
58.3,10.2,0,78.3,94.2,56.9,1
82.3,4.5,8,37.9,86.7,68.6,1
84.8,5.8,6,52.6,41.5,56.3,1
94.8,27.1,7,36.3,59.4,79.7,1
85.6,6.6,1,36.4,82.4,53.5,0
54.3,21.8,8,72.8,49.6,71.9,1
52.2,6.8,5,69.6,79.6,55.5,1
93.4,7.0,0,59.4,58.6,54.7,0
72.3,19.5,1,92.9,97.6,69.8,1
88.3,2.3,7,89.9,72.6,66.5,1
94.1,8.7,9,76.2,67.2,76.7,1
80.1,2.2,8,49.5,77.7,65.8,1
60.4,7.2,0,75.7,42.2,47.3,0
83.3,25.5,4,53.2,45.3,65.8,1
99.7,6.5,4,72.8,81.5,69.7,1
89.4,7.0,7,82.5,61.6,67.1,1
88.4,11.0,6,87.4,85.5,80.2,1
53.2,15.2,1,78.6,56.5,54.7,0
76.2,21.5,9,34.1,74.3,79.8,1
76.4,4.5,9,95.4,99.2,77.9,1
80.4,10.9,8,70.3,77.4,77.8,1
80.7,15.9,10,64.8,88.5,86.6,1
61.6,10.1,3,30.1,41.4,44.8,0
55.9,25.7,9,99.9,64.8,84.1,1
78.0,19.9,0,74.8,81.4,64.7,1
53.4,10.4,8,52.7,40.4,57.8,1
67.1,22.3,9,97.2,89.9,87.6,1
91.7,27.8,7,94.1,87.8,96.7,1
74.1,19.6,8,92.7,67.7,84.8,1
96.4,3.6,8,51.0,83.5,68.4,1
76.8,7.8,10,53.2,95.0,77.4,1
53.3,6.2,0,53.7,62.5,41.8,0
58.3,19.0,2,71.7,91.9,68.5,1
85.3,10.8,0,49.0,45.2,51.8,0
68.6,25.2,4,45.1,58.1,62.8,1
89.2,23.8,1,61.1,41.5,63.7,1
75.0,7.3,7,81.3,71.4,71.3,1
57.2,26.4,8,77.4,48.0,78.3,1
73.0,22.0,8,38.1,58.7,67.6,1
92.4,26.4,5,62.7,42.8,75.5,1
82.9,10.7,9,83.1,78.3,77.2,1
60.0,10.0,8,52.3,66.5,59.7,1
57.5,9.7,0,97.1,73.6,53.1,0
77.1,17.4,4,39.9,82.3,63.9,1
62.2,4.0,9,92.5,72.4,66.1,1
51.4,27.3,0,37.4,43.2,50.2,0
58.9,18.7,9,74.1,81.4,78.4,1
67.8,11.3,3,79.9,80.3,64.3,1
98.7,23.2,7,69.7,45.6,82.7,1
84.9,4.7,4,77.9,82.6,64.8,1
61.6,8.3,9,48.1,61.8,59.5,1
95.9,11.2,5,61.7,41.8,63.4,1
67.6,14.9,2,49.8,60.9,55.6,1
75.4,13.4,1,52.8,79.0,60.3,1
76.6,13.2,6,46.7,54.6,59.2,1
74.1,3.8,3,87.0,75.5,62.3,1
71.8,24.0,8,78.6,50.4,80.3,1
87.0,21.9,7,38.0,75.8,74.6,1
54.9,14.5,4,96.9,44.2,58.4,1
90.7,23.6,6,52.9,78.7,76.4,1
60.9,5.9,9,93.2,78.2,68.2,1
57.3,6.2,8,50.4,76.9,60.3,1
60.3,26.6,4,69.9,94.8,75.7,1
97.2,14.2,5,99.3,75.0,81.4,1
75.5,25.7,4,34.4,94.1,76.9,1
50.0,17.7,5,37.7,56.9,51.8,0
71.6,18.5,10,52.3,63.0,74.8,1
77.3,20.5,7,39.7,73.3,75.1,1
68.0,13.7,4,99.8,80.2,69.0,1
53.6,2.4,7,76.1,98.5,61.3,1
56.9,24.6,7,92.6,81.7,86.2,1
81.2,14.7,6,68.6,67.0,70.0,1
59.3,18.9,9,64.9,83.9,79.4,1
63.5,27.9,9,55.7,98.7,87.6,1
85.2,5.2,7,97.3,44.8,69.7,1
76.3,26.1,4,62.5,44.7,72.5,1
54.4,15.2,10,97.2,44.7,75.2,1
89.9,10.7,0,93.3,72.1,60.2,1
72.7,27.4,9,81.4,65.3,91.1,1
89.9,10.1,0,78.7,75.9,59.9,1
89.3,9.3,10,63.1,50.1,68.8,1
99.5,24.6,9,31.9,69.1,79.8,1
53.8,23.9,4,39.3,56.9,62.7,1
50.7,5.1,2,93.7,84.3,57.6,1
68.5,6.9,3,63.9,88.0,61.9,1
67.1,4.4,2,71.7,89.3,59.2,1
87.6,13.6,6,46.7,66.4,68.5,1
60.5,22.6,5,33.8,55.9,63.7,1
52.6,15.0,7,51.1,84.8,68.3,1
76.6,12.6,6,63.2,48.7,66.6,1
50.6,28.0,7,56.7,58.9,72.4,1
97.8,4.7,8,74.6,97.4,78.1,1
95.9,26.0,5,48.9,88.1,80.2,1
79.2,14.9,10,82.4,84.1,85.7,1
59.7,11.4,2,51.9,40.6,42.6,0
53.4,13.5,8,37.3,66.8,58.7,1
64.2,7.4,0,73.4,43.4,46.1,0
94.7,8.1,9,74.7,82.5,76.6,1
92.8,5.6,10,83.5,78.9,82.6,1
59.2,5.1,2,47.7,68.0,49.5,0
81.9,27.8,4,83.9,81.5,85.1,1
88.5,9.2,1,49.4,43.7,49.2,0
99.8,9.2,4,42.5,44.2,61.5,1
60.0,13.0,10,64.4,48.6,70.1,1
60.9,20.0,7,80.1,46.2,67.1,1
78.6,9.0,7,31.3,69.9,62.3,1
50.0,3.1,6,48.7,82.0,56.4,1
78.7,16.4,7,63.5,64.2,74.2,1
90.6,4.0,3,30.2,97.2,59.9,1
74.1,17.9,5,53.3,58.2,61.6,1
99.9,20.1,5,67.4,97.7,80.7,1
73.0,23.5,10,44.2,73.3,84.3,1
83.0,10.4,6,92.8,77.8,74.1,1
54.2,19.7,3,39.8,51.6,55.3,1
79.6,15.7,1,85.5,78.6,67.3,1
98.2,24.7,0,32.6,43.4,61.8,1
52.1,5.3,10,76.7,67.5,67.5,1
